citystate,country,category,issue_type,tag_line,past_violation,ongoing_violation,respecting_restrictions,regulatory_deal,bannedexited,protest,strike,violence,drivers_organising,crackdown,legislation,lawsuit_court_ruling_or_prosecution,fare_cutcommission_increase,2_sentence_summary,outcome,actors,date_open,date_closed,link_1,extra_links,upcoming_flashpoint,notes,,lat,long,location
Victoria,Australia,Regulation and lobbying,Regulation,Flouted regulations,1,,,,,,,,,,1,,,"After operating in a legal grey area for some time, driving for Uber was found to be illegal in a prosecution concluded in December 2015. In May 2016, that finding was overruled by a higher court. In June 2016, legislators brought forward proposals to formally regulate Uber.",?,State government,Jun-16,,http://www.abc.net.au/news/2016-06-07/uber-court-decision-prompts-legislation-change-in-victoria/7484318,http://www.9news.com.au/national/2016/06/21/09/30/sex-party-wants-uber-legalised-in-vic / https://www.broadsheet.com.au/melbourne/city-file/article/uber-legal-victoria-again / http://www.abc.net.au/news/2016-06-22/government-strikes-deal-with-sex-party-over-uber-regulation/7533114 / https://www.broadsheet.com.au/melbourne/city-file/article/uber-track-legalised-victoria,,,,-37.4713077,144.7851531,"Victoria, Australia"
Victoria,Australia,Regulation and lobbying,Regulation,Drivers narrowly escaped prosecution,,,,,,,,,,,,1,,12 Uber drivers were let off the hook as the state taxi regulator decided not to pursue charges in the light of legislation set to legally regulate the service,Case dropped,,,,http://www.news.com.au/national/breaking-news/vic-uber-drivers-court-cases-dropped/news-story/e49958bb07c50b70f19bdae462d3bb27,,,,,-37.4713077,144.7851531,"Victoria, Australia"
São Paulo,Brazil,Regulation and lobbying,Regulation,Made concessions to enter into a regulatory deal,,,,Mileage tax,,1,,1,,,,,,"The Mayor of South America's largest city acted to regulate right hailing apps in exchange for a mileage fee, overriding attempts by city legislators to ban the apps. Taxi drivers had held protests, blocking roads.","Decree, legacy driver protest",,,Jun-16,http://uk.businessinsider.com/r-sao-paulo-mayor-to-authorize-uber-with-mileage-fee-2016-5?r=US&IR=T,,,,,-23.5505199,-46.63330939999999,"São Paulo, Brazil"
Alberta,Canada,Regulation and lobbying,Regulation,"Withdrew, was banned, or not permitted",,,1,Insurance,1,,,,,,,,,"Uber had withdrawn from Alberta in February 2016, but returned after the province approved a new sort of insurance policy affordable for right hailing company drivers",,,,,http://www.cbc.ca/news/canada/edmonton/uber-back-in-business-in-edmonton-1.3659878,,,,,53.9332706,-116.5765035,"Alberta, Canada"
"London, Ontario",Canada,Regulation and lobbying,Regulation,Flouted regulations,1,1,,,,,,,,,,,,"Proposals to regulate ride hailing apps and drivers caused controversy as they progressed through through the London city council, while Uber continued to operate illegally. Legislators were set to make a decision in autumn 2016.",,,,,http://www.lfpress.com/2016/07/19/a-council-committee-sends-a-proposed-overhaul-of-londons-taxi-rules-not-to-full-council-but-to-a-public-meeting-this-fall,http://www.640toronto.com/syn/104/97098/uber-bylaw-reax-salih-motions / http://www.lfpress.com/2016/03/23/council-to-weigh-uber-options / http://www.lfpress.com/2016/02/15/london-is-still-enforcing-its-old-school-bylaw-against-unlicensed-cabs / http://www.am980.ca/2015/09/23/uber-hits-city-hall-road-block/ / ,,,,42.9849233,-81.2452768,"London, Ontario, Canada"
Ontario,Canada,Regulation and lobbying,Regulation,Flouted regulations,1,,,Insurance,,,,,,,,,,"Ontario's insurance regulator approved an insurance plan to cover Uber's drivers and passengers. The plan, which will be paid for by the company, ends drivers' legal limbo.",,,,,https://www.thestar.com/news/gta/2016/07/07/ontario-approves-insurance-plan-aimed-at-uber.html,http://www.torontosun.com/2016/07/09/spike-in-ex-uber-drivers-turning-to-taxis-beck-taxi,,,,51.253775,-85.3232139,"Ontario, Canada"
Quebec,Canada,Regulation and lobbying,Regulation,Flouted regulations,1,,,?,,,,,,,1,,,"A provincial taxi bill was voted into law, requiring ride hailing drivers to hold taxi permits. But an opposition party and taxi drivers said that the proposals were still unfair.",Bill passed – may have compromised on single fare structure initially in the bill?,"State government, Québec taxi coalition",May-16,,http://www.cbc.ca/news/canada/montreal/uber-law-could-pass-today-1.3628992,"http://www.theglobeandmail.com/news/politics/quebec-bill-would-force-uber-to-comply-with-taxi-laws/article29989768/, http://globalnews.ca/news/2704756/uber-hopes-for-compromise-with-quebec-government-over-taxi-regulations/, http://www.forbes.com/sites/jaredmeyer/2016/06/03/when-it-comes-to-uber-quebec-shouldnt-follow-france/#2a0dd1ab2740, http://montreal.ctvnews.ca/cabbies-split-on-uber-law-1.2941988",,"Uber threatened to quit, didn't ",,46.8138783,-71.2079809,"Quebec, Canada"
Vancouver/British Columbia,Canada,Regulation and lobbying,Regulation,"Withdrew, was banned, or not permitted",,,,,1,,,,,,1,,,"Uber is effectively prohibited in Vancouver, with reports disagreeing on the prospects for legalisation in 2017",,,,,http://www.bloomberg.com/news/articles/2016-07-08/vancouver-doesn-t-have-uber-it-boggles-the-mind,http://www.timescolonist.com/business/rubber-about-to-hit-road-on-uber-s-future-in-b-c-1.2296330,May-17,,,49.2827291,-123.1207375,"Vancouver/British Columbia, Canada"
National,China,Regulation and lobbying,Regulation,Flouted regulations,1,,,1,,,,,,,,,,"China instituted ride hailing regulations, set to take effect in November 2016, in July 2016. Days later, Uber's Chinese operation was bought out by its principal Chinese competitor in exchange for a minority stake – a move that may have been prompted by the proscription on charging below cost price.",,,,,http://www.wsj.com/articles/china-clears-road-for-uber-to-operate-legally-1469703991,http://www.bbc.co.uk/news/business-36938813,,,,35.86166,104.195397,China
National,Colombia,Regulation and lobbying,Regulation,Flouted regulations,1,1,,,1,,,,,1,,1,,"Authorities seized more than 1200 vehicles in a crackdown on Uber drivers in June 2016, saying that the service was illegal. An Uber spokesperson said that no administrative or legal act had declared their service outside the law, and has refused to register as a taxi service. Uber was fined by a court in March 2016.",,,Jun-16,,http://uk.businessinsider.com/uber-crackdown-in-colombia-2016-6,,,,,4.570868,-74.297333,Colombia
National,Denmark,Regulation and lobbying,Regulation,Flouted regulations,1,1,,,,,,,,,,1,,More than 40 Uber drivers have been convicted in Denmark since the service started operating in 2014,,,,,http://fortune.com/2016/07/08/uber-drivers-denmark/,,,,,56.26392,9.501785,Denmark
National,France,Regulation and lobbying,Regulation,Flouted regulations,1,,,,,,,,,,,1,,"A court fined Uber €800,000 and found two of its executives guilty on criminal charges for running an illegal transport service using nonprofessional drivers – UberPop. The service was suspended in 2015.","UberPop ruled illegal, fines","Public prosecutor, National Union of Taxis",,Jun-16,https://www.theguardian.com/technology/2016/jun/09/french-court-fines-uber-for-running-illegal-taxi-service,http://www.ft.com/cms/s/0/3d65be7a-2e22-11e6-bf8d-26294ad519fc.html,,"""UberPop has been declared illegal by courts in Italy, Spain and Germany, and appeals are pending in Belgium and the Netherlands. . . The company’s problems in Europe have led it to shift its focus to its service staffed by professional drivers, which has grown rapidly in France and now employs about 10,000 drivers.""","""France is Uber’s second-largest market in the world, by revenues, and its licensed driver car service has grown quickly.. . . The official body that collects social security contributions recently moved to force the company to reclassify its drivers as employees.""",46.227638,2.213749,France
National,France,Regulation and lobbying,Regulation,The authorities explored a regulatory proposal,,,,,,,,,,,,,,"Legislators have proposed that ride hailing service drivers will require a chauffeur license, which can be expensive and hard to obtain. Currently one third of Uber drivers use a ""collective transport"" permit.","Proposed, not yet passed",,,,https://next.ft.com/content/5bb6139a-436f-11e6-9b66-0712b3873ae1,,,,,46.227638,2.213749,France
National,Ghana,Regulation and lobbying,Regulation,Obtained light-touch regulation,,,,Light-touch,,,,,,,,,,"A ""statement of understanding"" between Uber and the Ghanaian Ministry of transport promises ""a new, forward-looking regulatory framework that allows for ridesharing technology"".",,,,,http://qz.com/711318/uber-will-pretty-much-regulate-itself-in-ghana/,,,,,7.946527,-1.023194,Ghana
National,Hungary,Regulation and lobbying,Regulation,"Withdrew, was banned, or not permitted",1,,,,1,,,,,1,1,,,"After operating outside the law for some time, Uber withdrew from Hungary after legislation was introduced to allow the government to block Internet access to ridesharing apps whereof drivers did not comply with taxi regulations
",,,Jun-16,Jul-16,http://www.reuters.com/article/us-uber-hungary-exit-idUSKCN0ZT0RS,http://www.reuters.com/article/us-uber-hungary-ban-idUSKCN0YZ1KD / http://www.wsj.com/articles/uber-to-suspend-operations-in-budapest-1468412030 / http://www.schoenherr.eu/publications/publications-detail/the-hungarian-government-resolves-the-uber-dispute/,,,,47.162494,19.503304,Hungary
Bangalore,India,Regulation and lobbying,Regulation,Flouted regulations,1,1,,,,,,,,,,,,"In a May 2016 letter, the local radio taxi association wrote to several government ministries, claiming that Uber and Ola – it's Indian rival – were violating guidelines issued by the government earlier in the year by deploying ""cash discounts, financial inducements and disproportionate incentives"".",,,,,http://economictimes.indiatimes.com/small-biz/startups/radio-taxi-association-writes-to-government-on-rules-violation-by-uber-ola/articleshow/52612105.cms,,,,,12.9715987,77.5945627,"Bangalore, India"
Delhi,India,Regulation and lobbying,Regulation,Flouted regulations,1,1,,,,,,,,,,1,,"The Delhi High Court banned ride hailing apps from charging above government-prescribed rates, even during surge pricing. Uber's lawyers said they would take instruction from their clients before appearing again before the court.",,,,,http://indianexpress.com/article/india/india-news-india/ola-uber-surge-pricing-delhi-high-court-2935151/,,,,,28.7040592,77.10249019999999,"Delhi, India"
Delhi,India,Regulation and lobbying,Regulation,Flouted regulations,1,1,,,,,,,,,,,,"Indian Internet service providers have said that they are unable to block access to ride hailing apps, including that of Uber, because the encryption they use is too sophisticated. The Delhi government had tried to block access to the app after the company continued to operate, despite a ban inaugurated after a passenger was raped by an Uber driver.",,,,,http://articles.economictimes.indiatimes.com/2015-05-15/news/62192113_1_telecom-department-websites-ispai,http://cis-india.org/internet-governance/news/hindustan-times-siladitya-ray-june-4-can-uber-ola-apps-be-blocked,,,,28.7040592,77.10249019999999,"Delhi, India"
Karnataka,India,Regulation and lobbying,Regulation,Flouted regulations,1,1,,,,,,,,,,,,"Uber's Indian rival Ola filed an affidavit claiming that Uber was violating state rules, using vehicles not licensed to operate as taxis.",,,,,http://economictimes.indiatimes.com/news/politics-and-nation/ola-levels-allegations-against-uber-in-karnataka-high-court/articleshow/52945514.cms,http://www.thehindu.com/business/Industry/uber-flouting-local-laws-alleges-ola/article8788844.ece,,,,15.3172775,75.7138884,"Karnataka, India"
National,India,Regulation and lobbying,Regulation,Flouted regulations,1,1,,,,,,,,,,,,"A rival to Uber claimed that the company had flouted the Reserve Bank of India's ""two factor authentication mandate"" for financial transactions. ""This is not even some smart method of finding a loophole in the RBI guidelines but a blatant breach of the law of the land,"" the company said in a blog.",,,,,http://economictimes.indiatimes.com/small-biz/startups/meru-tears-into-uber-for-breaking-local-laws/articleshow/53065407.cms,,,,,20.593684,78.96288,India
National,Israel,Regulation and lobbying,Regulation,"Withdrew, was banned, or not permitted",,,1,,1,,,,,,,,,"Since 2014, Uber has operated its app-based taxi service in Israel, but UberX is not available. There is a political dispute over whether to permit and regulate the service.",,,,,http://www.jpost.com/Opinion/JPOST-EDITORIAL-Uber-for-Israel-457806,http://www.haaretz.com/opinion/1.731862 / http://lifeinisrael.blogspot.co.uk/2016/06/proposed-law-paving-way-for-uber.html,,,,31.046051,34.851612,Israel
Amman,Jordan,Regulation and lobbying,Regulation,Flouted regulations,1,1,,,,,,,,,,,,Has called for Internet service providers in Jordan to block the Uber app until it is officially licensed,,,,,http://www.jordantimes.com/news/local/uber-not-licensed-jordan%E2%80%99-%E2%80%94-officials,,,,,31.9453666,35.9283716,"Amman, Jordan"
Mexico City,Mexico,Regulation and lobbying,Regulation,Made concessions to enter into a regulatory deal,1,?,,Revenue tax,,,,,,,1,,,"Mexico City government announced in July 2015 a deal to allow ride-hailing services to operate legally, in exchange for a 1.5% revenue tax. But by July 2016, the fund to receive the tax was yet to be created by officials for reasons that were unclear.",Full implementation delayed,,Jul-15,,http://uk.reuters.com/article/us-mexico-uber-idUKKCN0Z22G5,,,,,19.4326077,-99.133208,"Mexico City, Mexico"
National,Nigeria,Regulation and lobbying,Regulation,Obtained light-touch regulation,,,,Light-touch,,,,,,,,,,"Legislators passed a resolution in June 2016 urging government ""to recognise and integrate ridesharing into their transportation policies.""",,,,,https://www.techvoize.com/africa/nigeria-takes-major-step-towards-building-ridesharing-transportation-policies-2720,,,,,9.081999,8.675277,Nigeria
National,Philippines,Regulation and lobbying,Regulation,Was accused of graft,,,,,,,,,,,,1,,"After dismissing an application for an injunction against right hailing services, courts are being asked to consider a ""graft"" lawsuit against the Transportation Secretary and a senior regulator for improperly allowing the operation of the services.",,,Jun-16,,http://newsinfo.inquirer.net/791497/transport-group-sues-abaya-for-allowing-uber-grabcar-to-operate,http://newsinfo.inquirer.net/780659/qc-court-junks-plea-to-halt-app-based-vehicle-service,,,,12.879721,121.774017,Philippines
Cape Town,South Africa,Regulation and lobbying,Regulation,Flouted regulations,1,1,,,,,,,,1,,,,"302 cars were seized from unlicensed Uber drivers between January and June 2016, an increase from 255 cars in the same period in 2015",,,,,http://ewn.co.za/2016/07/18/302-Uber-vehicles-impounded-in-CT,,,,,-33.9248685,18.4240553,"Cape Town, South Africa"
National,Taiwan,Regulation and lobbying,Regulation,Flouted regulations,1,1,,,,,,,,1,,,,"Authorities announced in May 2016 that a crackdown on unlicensed Uber drivers would commence the following month. Taxi unions were reported to be involved in entrapping drivers. In August 2016, early plans to deregulate taxicabs to allow them to compete with Uber were announced.",,,,,http://www.taipeitimes.com/News/taiwan/archives/2016/05/29/2003647396,http://www.shareable.net/blog/open-data-hactivists-help-taipei-craft-regulatory-response-to-uber / http://www.taipeitimes.com/News/taiwan/archives/2016/05/29/2003647396 / http://www.taipeitimes.com/News/taiwan/archives/2016/07/29/2003652030 / http://www.chinapost.com.tw/taiwan/business/2016/06/16/469496/Uber-hit.htm / http://mashable.com/2016/05/31/uber-taipei/,,,,23.69781,120.960515,Taiwan
London,UK,Regulation and lobbying,Regulation,Obtained light-touch regulation,,,,Light-touch,,,,,,,,1,,"Uber won a High Court case in which the city transport authority sought legal clarity on whether the app amounted to a taximeter, and consequently whether its drivers were in violation of licensing regulations.",Uber victory,,,,https://www.theguardian.com/technology/2015/oct/16/uber-wins-high-court-case-taxi-app-tfl,,,,,51.5073509,-0.1277583,"London, UK"
National,UK,Regulation and lobbying,Regulation,Alleged to be in breach of licensing,,,,,,,,,,,,,,A taxi driver claims that Uber is in breach of its licensing in London because drivers accept jobs in-car,,,,,http://taxileaks.blogspot.co.uk/2016/07/uber-in-uk-court-case-to-be-heard-on.html,,,,,55.378051,-3.435973,UK
Oxford,UK,Regulation and lobbying,Regulation,"Following opposition, decided not to start operating",,,1,,,,,,,,,,,"Uber allowed its application to operate in Oxford to lapse, after it failed to submit key documents by an August 2016 deadline. Although the local legacy industry had launched a campaign against a Uber, and even launched their own app, the company said that it would not rule out applying in future.",,,,,http://www.dailymail.co.uk/news/article-3703247/Uber-BANNED-setting-cheap-taxi-app-Oxford-licensed-drivers-private-hire-firms-rallied-block-application.html,,,,,51.7520209,-1.2577263,"Oxford, UK"
Boston,USA,Regulation and lobbying,Regulation,Made concessions to enter into a regulatory deal,,,,Ride tax,,,,,,,1,,,"A deal reached one hour before the end of legislative sessions for the fiscal year regulated Uber and other ride hailing apps by imposing a $.20 per ride surcharge, which would be divided between the municipality where the ride originated, the state and an adjustment fund for legacy industry drivers. Background checks and identifying vehicle decals were mandated.",,,,Aug-16,http://www.bostonherald.com/news/local_coverage/2016/08/legislature_reaches_deal_on_logan_bcec_ride_hailing_services,http://www.bostonherald.com/business/business_markets/2016/07/marty_walsh_bashes_uber_bill,,,,42.3600825,-71.0588801,"Boston, USA"
Chicago,USA,Regulation and lobbying,Regulation,Obtained light-touch regulation,,,,Light-touch,,,,,,,1,,,Mayor Rahm Emmanuel pushed through light-touch regulation of Uber in Chicago in June 2016. His brother is an investor in the company.,Watered-down regulations passed,,,,http://www.chicagotribune.com/news/local/politics/ct-chicago-city-council-uber-rules-met-20160622-story.html,http://www.chicagotribune.com/news/local/politics/ct-chicago-city-council-uber-rules-met-20160622-story.html / http://www.cnbc.com/2016/06/23/after-austin-uber-and-lyft-could-leave-chicago-too.html,December 2016 flash point – six months deadline passes,"""Emanuel's brother, Hollywood superagent Ari Emanuel, is an Uber investor.""",,41.8781136,-87.6297982,"Chicago, USA"
Fort Worth,USA,Regulation and lobbying,Regulation,Obtained light-touch regulation,,,,Light-touch,,,,,,,,,,"Regulations due to take effect in October 2016 were passed, which would require companies only to verify that the drivers are licensed, their cars are insured, and that they run background checks on drivers",,,,,http://www.fox4news.com/news/167351090-story,,,,,32.7554883,-97.3307658,"Fort Worth, USA"
"Kansas City, Missouri",USA,Regulation and lobbying,Regulation,The authorities explored a regulatory proposal,,,,,,,,,,,1,,,"With regulations agreed in 2015 due for review, and Uber having failed to override metropolitan legislation in the state legislature, Uber faces the prospect of further regulation of new drivers. Reports also mentioned the company's lobbying operation.",,,2015,,http://www.kansascity.com/news/business/technology/article88012797.html,,Next few months,,,39.0997265,-94.5785667,"Kansas City, Missouri, USA"
Massachusetts,USA,Regulation and lobbying,Regulation,Made concessions to enter into a regulatory deal,,,,Ride tax,,,,,,,1,,,"Legislators have proposed, but not yet passed, measures to regulate ride hailing services. Proposals include a per-ride tax, a ban on surge pricing, and an in-app tipping feature Uber's response was not immediately apparent.",,,,Jun-16,http://commonwealthmagazine.org/transportation/senate-bill-more-uber-friendly/,,,,,42.4072107,-71.3824374,"Massachusetts, USA"
Montana,USA,Regulation and lobbying,Regulation,The authorities explored a regulatory proposal,,,,,,,,,,,,,,"Competition in the industry was legalised in 2015, But the State Department of Labour got involved to investigate whether drivers needed to be treated as employees, which appears to be a reason that the service has not launched.","Ongoing, worker classification issues appear unresolved",,,,http://www.ktvq.com/story/32361594/uber-whats-slowing-down-the-fast-paced-program-in-mt,,,,,46.8796822,-110.3625658,"Montana, USA"
National,USA,Regulation and lobbying,Regulation,Denied an allegation of monopoly practices,,,,,,,,,,,,1,,"A Connecticut Uber rider has claimed in court that Uber's surge pricing amounts to a violation of anti-trust (anti-monopoly) law. The case generated a separate controversy after Uber was found to have used a CIA-linked research firm, which allegedly misrepresented itself in order to obtain information, to investigate the complainant and his lawyer.",,Spencer Meyer,Mar-16,,http://www.bloomberg.com/news/articles/2016-03-31/uber-antitrust-lawsuit-over-pricing-green-lighted-by-judge,http://www.reuters.com/article/us-uber-tech-lawsuit-idUSKCN0Z62IY,,,,37.09024,-95.712891,USA
New York,USA,Regulation and lobbying,Regulation,Made concessions to enter into a regulatory deal,,,,1,,,,,,,,,,"Mayor Bill de Blasio's administration has agreed not to cap growth of the higher-vehicle companies, including ride-hailing apps and traditional taxis, pending the conclusion of a four-month study into the impact of such companies on traffic congestion. As part of the agreement, Uber withdrew a range of aggressive anti-de Blasio adverts.",,,,,https://www.buzzfeed.com/johanabhuiyan/de-blasio-backs-off?utm_term=.vnq597j9k4#.ogPlK9yKLp,https://heatst.com/biz/why-did-bill-de-blasios-war-on-uber-backfire-so-badly/ / https://www.buzzfeed.com/johanabhuiyan/ubers-de-blasio-option-urgers-new-yorkers-to-fight-proposed#.gwmmmZjKA,,,,40.7127837,-74.0059413,"New York, USA"
New York state,USA,Regulation and lobbying,Regulation,"Withdrew, was banned, or not permitted",,,1,,1,,,,,,,,,"A bill that would have permitted ride hailing app companies to operate in New York state was passed by the state Senate but stalled in the Assembly, with opponents citing poor conditions for drivers – including a lack of workers' compensation – and background checks less rigourous than those used by traditional taxi services",?,,,,http://www.nydailynews.com/news/politics/uber-ridesharing-bills-not-good-new-york-state-article-1.2672616,https://newsroom.uber.com/us-new-york/area/new-york-state/ / http://dailyorange.com/2016/07/uber-and-why-you-cant-get-one-in-syracuse-explained/ / http://www.syracuse.com/state/index.ssf/2016/06/senate_passes_uber_in_upstate_ny_bill_but_assemby_expected_to_balk.html / http://www.syracuse.com/state/index.ssf/2016/06/ny_senate_committee_passes_bill_to_legalize_uber_ridesharing_in_upstate.html,,,,43.2994285,-74.21793260000001,"New York state, USA"
Philadelphia,USA,Regulation and lobbying,Regulation,Flouted regulations,1,,,Revenue tax,,,,,,,,,,"Uber won temporary permission to operate in Philadelphia, after a lobbying campaign given urgency by the arrival of the Democratic National Convention in the city in July 2016. Gov Tom Wolfe signed the temporary regulations into law shortly after a judge held up a previous decision prohibiting the company's operations, following application by Fair Ride Philly, a coalition of Uber and legacy taxi drivers, and disability rights activists. t was expected that permanent ride hailing legislation would be adopted in autumn 2016.",,,,,https://consumerist.com/2016/07/13/pa-governor-signs-bill-authorizing-temporary-truce-between-uber-philadelphia/,http://bigstory.ap.org/article/186ab772d74b45af90b2572c72510226/uber-gets-ok-operate-philadelphia-during-convention / http://www.cnet.com/au/news/pennsylvania-judge-orders-further-hearing-on-uber-services-during-dnc/ / http://planphilly.com/articles/2016/07/13/anti-uber-coalition-will-get-its-day-in-court-but-will-it-matter / https://consumerist.com/2016/07/13/pa-governor-signs-bill-authorizing-temporary-truce-between-uber-philadelphia/ / http://fivethirtyeight.com/features/how-ubers-truce-with-regulators-played-out-during-the-dnc/ / http://philadelphia.cbslocal.com/2016/07/12/cab-drivers-fight-back-against-ppas-dnc-deal-with-uber/ / http://billypenn.com/2016/07/06/the-ppa-will-let-uber-x-operate-in-philly-during-the-dnc-and-septas-regional-rail-crisis/,,,,39.9525839,-75.1652215,"Philadelphia, USA"
Portland,USA,Regulation and lobbying,Regulation,Flouted regulations,1,,,1,,,,,,,,,,"Uber initially operated illegally in the city, before agreeing to a temporary hiatus while regulations – relatively light touch – were hammered out under intense pressure from the company.",,,,,http://www.bloomberg.com/news/features/2015-06-23/this-is-how-uber-takes-over-a-city,,,,,45.5230622,-122.6764816,"Portland, USA"
"Tri-Cities, Washington State",USA,Regulation and lobbying,Regulation,The authorities explored a regulatory proposal,,,,,,,,,,,,,,Local Uber and local authorities had a dispute over who should conduct background checks on potential drivers,,,,,http://www.tri-cityherald.com/news/local/article88729147.html,,,,,46.2349999,-119.2233014,"Tri-Cities, Washington State, USA"
West Virginia,USA,Regulation and lobbying,Regulation,Obtained light-touch regulation,,,1,Light-touch,,,,,,,,,,"Uber launched in West Virginia with the support of the governor of Charleston and a US Sen, and apparently no regulation",,,,,http://www.wvgazettemail.com/news-business/20160719/uber-starts-offering-rides-in-wv,"http://www.governor.wv.gov/media/pressreleases/2016/Pages/GOVERNOR-TOMBLIN,-SENATOR-MANCHIN-LAUNCH-UBER-SERVICES-IN-WEST-VIRGINIA-.aspx",,,,38.5976262,-80.4549026,"West Virginia, USA"
Austin,USA,Regulation and lobbying,Regulation ,Flouted regulations,1,,,,1,,,,,,1,,,"After lawmakers enacted legislation requiring fingerprint background checks for ride-hailing drivers and several requirements for ride-hailing companies such as Uber, including a data reporting requirement, and lift sponsored a ballot initiative to overturn the regulations. The initiative failed, and as the companies had threatened to in that event, both left town.","Uber withdrew, alternatives emerge, lawsuit push back: http://www.aol.com/article/2016/06/17/texas-lawsuit-seeks-to-overturn-austins-uber-fingerprint-rule/21397530/","State government, voters",,,https://www.texastribune.org/2016/05/07/early-voting-austin-proposition-against/,http://www.austintexas.gov/edims/document.cfm%3Fid=245769 / http://thefederalist.com/2016/05/10/uber-lyft-were-driven-out-of-austin/ / http://www.mystatesman.com/news/news/local/dont-mess-up-your-vote-heres-what-uber-lyft-ballot/nq2rs/ / http://observer.com/2016/06/the-toxic-force-that-poisoned-the-uber-and-lyft-battle-in-austin/ / http://www.bloomberg.com/features/2016-austin-ridesharing/ / http://www.nytimes.com/2016/05/10/technology/uber-and-lyft-stop-rides-in-austin-to-protest-fingerprint-background-checks.html / https://nextcity.org/daily/entry/austin-public-transportation-after-uber / http://qz.com/699458/uber-and-lyft-abandoned-austin-but-it-could-be-a-blessing-in-disguise-for-ride-sharing-apps/ / http://www.theatlantic.com/business/archive/2016/06/a-world-without-uber/487331/,,"""they pulled out of Austin after losing a legislative fight over driver screening, vehicle identification and data reporting. """,,30.267153,-97.7430608,"Austin, USA"
International,Bermuda,Corporate citizenship,Tax,Organised its interional business to dodge tax,,,,,,,,,,,,,,"Uber has developed a corporate structure designed to allow it to minimise its international tax obligation by routing revenue through the Netherlands to Bermuda, which doesn't charge corporate income tax. However, the company currently makes little use of the structure, it argues, because it reinvests almost almost all revenue over costs to facilitate its global expansion.",,,,,http://fortune.com/2015/10/22/uber-tax-shell/,http://48hills.org/2014/07/10/ubers-tax-avoidance-strategy-costs-government-millions/,,,,32.3078,-64.7505,Bermuda
National,New Zealand,Corporate citizenship,Tax,Organised its international business to dodge tax,,,,,,,,,,,,,,Uber paid only $9000 in tax in New Zealand on revenues of $1 million,,,2016,,http://www.labour.org.nz/uber_might_not_be_a_taxi_firm_but_it_must_pay_tax,,,,,-40.900557,174.885971,New Zealand
National,UK,Corporate citizenship,Tax,Organised its international business to dodge tax,,,,,,,,,,,,,,"Uber paid only £22,000 on an £866,000 profit in 2015, a sum which it attributed to accounting losses in previous years. But the company also routes rider payments through the Netherlands, a practice which avoids VAT.
",,,,,https://www.theguardian.com/technology/2015/oct/20/uber-pays-low-uk-corporation-tax,http://uk.businessinsider.com/uber-tax-in-europe-2015-7,,,,55.378051,-3.435973,UK
National,USA,Corporate citizenship,Tax,Organised its international business to dodge tax,,,,,,,,,,,,,,"Uber has assigned its intellectual property to a company based in Bermuda, an offshore tax haven, leaving less than 2% of net revenue profit susceptible to US taxation.",,,,,http://cleantechnica.com/2016/05/10/less-2-ubers-revenue-subject-us-taxes/ ,http://www.bloomberg.com/news/articles/2016-04-06/the-sharing-economy-doesn-t-share-the-wealth,,,,37.09024,-95.712891,USA
National,UK,Regulation and lobbying,Worker classification,Claimed drivers are contractors not workers to avoid respecting workers' rights,,,,,,,,,1,,,1,,"Two drivers took Uber to an employment tribunal, arguing that they were improperly classified as private contractors, and denied rights such as holiday and sick pay",,GMB,Jul-16,,https://www.theguardian.com/technology/2016/jul/19/uber-drivers-court-tribunal-self-employed-uk-employment-law,http://www.reuters.com/article/us-uber-britain-tribunal-idUSKCN0ZZ0U4 / http://www.ibtimes.co.uk/uber-underpaid-assaulted-disillusioned-uk-drivers-file-lawsuit-exposing-dark-side-company-1544706 / https://www.theguardian.com/business/2016/jul/20/uber-driver-employment-tribunal-minimum-wage / https://www.theguardian.com/business/2016/jul/21/uber-job-creation-claims-drivers-employment-tribunal / http://www.cipd.co.uk/pm/peoplemanagement/b/weblog/archive/2016/07/20/future-of-gig-economy-in-balance-as-uber-tribunal-begins.aspx,,,,55.378051,-3.435973,UK
Austin,USA,Regulation and lobbying,Worker classification,Claimed drivers are contractors not workers to avoid respecting workers' rights,,,,,,,,,,,,1,,"Former Uber driver Todd Johnston filed a proposed class-action lawsuit against the company, claiming back pay and other benefits to which he would have been entitled as an employee",,Todd Johnston,Jun-16,,http://arstechnica.com/tech-policy/2016/06/ex-drivers-sue-uber-lyft-after-ridesharers-left-austin-over-fingerprint-law/,,,"""Losing an election would clearly fall into the unforeseen business circumstances category. If this lawsuit is without merit, it has potential to take the spotlight off the more significant lawsuits against Uber and related firms.""",,30.267153,-97.7430608,"Austin, USA"
Boston,USA,Regulation and lobbying,Worker classification,Claimed drivers are contractors not workers to avoid respecting workers' rights,,,,,,,,,,,,1,,"A Boston man who drives for Uber filed a federal lawsuit, claiming that the company misclassified workers as independent contractors. The lawsuit was an echo of several others initiated around the country.",,Abdel Karim Jbara,Jun-16,,http://www.bizjournals.com/boston/blog/techflash/2016/06/uber-faces-new-federal-lawsuit-from-aboston-driver.html,,,,,42.3600825,-71.0588801,"Boston, USA"
